coef,p,model,formula,model_number,sig
0.0035531777161925534,0.0014604027635599013,linear,q26_n ~ q80_n + q81_n + q79 + qhallucdrug,44,TRUE
0.003668543336899543,0.1313792577212503,linear,q25_n ~ q80_n + q81_n + q79 + q80_n * q79,45,FALSE
0.0036889289677135093,0.05608353378110043,linear,q28_nd ~ q80_n + q81_n + q79 + q42 + qhallucdrug + q80_n * q81_n,46,FALSE
0.003751801937486351,0.14963267409911432,linear,q25_n ~ q80_n + q81_n + q79 + q80_n * q81_n,47,FALSE
0.0037556891657410103,0.07797059295717161,linear,q26_n ~ q80_n + q81_n + q79 + q80_n * q81_n,48,FALSE
0.003911232864754517,2.6593565469992775e-5,linear,q27_n ~ q80_n + q81_n + q79,49,TRUE
0.004001699050135544,0.19181121348539973,linear,q25_n ~ q80_n + q81_n + q79 + q42 + qhallucdrug + q80_n * q81_n,50,FALSE
0.0040081716355132345,1.0053519819972696e-4,linear,q26_n ~ q80_n + q81_n + q79 + q42,51,TRUE
0.004422609911024306,0.12330575766360816,linear,q25_n ~ q80_n + q81_n + q79 + q42 + qhallucdrug + q80_n * q79,52,FALSE
0.004499819926449449,1.0474630389712096e-4,linear,q26_n ~ q80_n + q81_n + q79 + q42 + qhallucdrug,53,TRUE
0.004929645788127297,0.021666246910387283,linear,q26_n ~ q80_n + q81_n + q79 + q42 + qhallucdrug + q80_n * qhallucdrug,54,TRUE
0.004942208725979803,1.7337872069617223e-6,linear,q27_n ~ q80_n + q81_n + q79 + qhallucdrug,55,TRUE
0.005107637213727779,1.0806331903351182e-7,linear,q27_n ~ q80_n + q81_n + q79 + q42,56,TRUE
0.005255056234983701,0.03826263362497857,linear,q25_n ~ q80_n + q81_n + q79 + q42 + q80_n * q79,57,TRUE
0.00564381333646214,0.006401045833171063,linear,q27_n ~ q80_n + q81_n + q79 + q42 + q80_n * q81_n,58,TRUE
0.005737680017600795,8.919563403745021e-8,linear,q27_n ~ q80_n + q81_n + q79 + q42 + qhallucdrug,59,TRUE
0.005758302765867333,0.0030218207088729327,linear,q26_n ~ q80_n + q81_n + q79 + q42 + qhallucdrug + q80_n * q42,60,TRUE
0.005822176264372273,0.004019008846110669,linear,q26_n ~ q80_n + q81_n + q79 + qhallucdrug + q80_n * qhallucdrug,61,TRUE
0.005909463219885666,1.2190642773466845e-6,linear,q25_n ~ q80_n + q81_n + q79,62,TRUE
0.006198066300788688,0.017739075308528824,linear,q25_n ~ q80_n + q81_n + q79 + q42 + qhallucdrug + q80_n * qhallucdrug,63,TRUE
0.00641949397668126,3.5767850015432464e-4,linear,q28_nd ~ q80_n + q81_n + q79 + q42 + q80_n * q81_n,64,TRUE
0.006609288072981189,0.0052220648737657,linear,q25_n ~ q80_n + q81_n + q79 + q42 + qhallucdrug + q80_n * q42,65,TRUE
0.0070047813708250485,0.0044969170169707655,linear,q25_n ~ q80_n + q81_n + q79 + qhallucdrug + q80_n * qhallucdrug,66,TRUE
0.007123071135426837,1.6971739916926289e-07,linear,q25_n ~ q80_n + q81_n + q79 + qhallucdrug,67,TRUE
0.007275150445817506,2.5334104481151694e-4,linear,q27_n ~ q80_n + q81_n + q79 + q80_n * q81_n,68,TRUE
0.0072968377415980465,4.309817701862718e-5,linear,q28_nd ~ q80_n + q81_n + q79 + q80_n * q81_n,69,TRUE
0.007456293591025978,4.829590367054468e-7,linear,q28_nd ~ q80_n + q81_n + q79 + q42 + qhallucdrug + q80_n * q42,70,TRUE
0.007519259678495954,2.75976136278448e-9,linear,q25_n ~ q80_n + q81_n + q79 + q42,71,TRUE
0.007966316478401587,5.633746811697233e-7,linear,q28_nd ~ q80_n + q81_n + q79 + qhallucdrug + q80_n * qhallucdrug,72,TRUE
0.00841011086378079,0.5899315111072783,logit,q27_n ~ q80_n + q81_n + q79 + q42 + q80_n * q79,73,FALSE
0.008528381109972023,1.6513751894830188e-9,linear,q25_n ~ q80_n + q81_n + q79 + q42 + qhallucdrug,74,TRUE
0.008681968924037432,3.6328029501656e-5,linear,q25_n ~ q80_n + q81_n + q79 + q42 + q80_n * q42,75,TRUE
0.008883605104004702,2.1648867127670642e-7,linear,q26_n ~ q80_n + q81_n + q79 + q42 + q80_n * q42,76,TRUE
0.009065821914300927,3.0172402071329964e-8,linear,q28_nd ~ q80_n + q81_n + q79 + q42 + qhallucdrug + q80_n * qhallucdrug,77,TRUE
0.00942063328294308,1.5548444541651473e-7,linear,q27_n ~ q80_n + q81_n + q79 + q42 + qhallucdrug + q80_n * q42,78,TRUE
